Ente;Liste/Gruppi;Voti;Year;
ITALIA;PART.SUD.TIROL;11287;1987;
ITALIA;VERDI IT.-P.ECOL;10269;1987;
ITALIA;PARTIDU INDIP.;9958;1987;
ITALIA;ALL.UM.;5585;1987;
ITALIA;NPP;5055;1987;
ITALIA;GIUST. E LIB.;4793;1987;
ITALIA;RINASCITA SIC.;2951;1987;
ITALIA;PART.NAZ.INQ.;2898;1987;
ITALIA;MOV.IND.TLT;2103;1987;
ITALIA;FORZA ITALIA;10923431;2001;
ITALIA;DEMOCRATICI SINISTRA;6151154;2001;
ITALIA;LA MARGHERITA;5391827;2001;
ITALIA;ALLEANZA NAZIONALE;4463205;2001;
ITALIA;RIFONDAZIONE COMUNISTA;1868659;2001;
ITALIA;LEGA NORD;1464301;2001;
ITALIA;LISTA DI PIETRO;1443725;2001;
ITALIA;CCD-CDU;1194040;2001;
ITALIA;DEMOCRAZIA EUROPEA;888249;2001;
ITALIA;PANNELLA-BONINO;832213;2001;
ITALIA;IL GIRASOLE;805340;2001;
ITALIA;COMUNISTI ITALIANI;620859;2001;
ITALIA;NUOVO PSI;353269;2001;
ITALIA;SVP;200059;2001;
ITALIA;FIAMMA TRICOLORE;143963;2001;
ITALIA;LIGA FRONTE VENETO;74353;2001;
ITALIA;PARTITO PENSIONATI;68349;2001;
ITALIA;PS D'AZ-SARD.NATZ.;34412;2001;
ITALIA;PAESE NUOVO;34193;2001;
ITALIA;ABOLIZIONE SCORPORO;26917;2001;
ITALIA;LEGA D'AZIONE MERIDIONALE;23779;2001;
ITALIA;FRONTE NAZIONALE;22985;2001;
ITALIA;VERDI-VERDI;18262;2001;
ITALIA;FORZA NUOVA;13622;2001;
ITALIA;LISTA AMADU;11517;2001;
ITALIA;REPUBBLICANI EUROPEI;7997;2001;
ITALIA;NOI SICILIANI;7637;2001;
ITALIA;MOVIMENTO DELLE LIBERTA';6754;2001;
ITALIA;LIBERI E FORTI;6722;2001;
ITALIA;SOCIAL.AUTON.;6492;2001;
ITALIA;LIBDEM.BASTA;6332;2001;
ITALIA;COMUNISMO;5244;2001;
ITALIA;TERZO POLO AUTONOMIA;2915;2001;
ITALIA (escl. Valle d'Aosta);PARTITO DEMOCRATICO;12095306;2008;
ITALIA (escl. Valle d'Aosta);DI PIETRO ITALIA DEI VALORI;1594024;2008;
ITALIA (escl. Valle d'Aosta);IL POPOLO DELLA LIBERTA';13629464;2008;
ITALIA (escl. Valle d'Aosta);LEGA NORD;3024543;2008;
ITALIA (escl. Valle d'Aosta);MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;410499;2008;
ITALIA (escl. Valle d'Aosta);LA SINISTRA L'ARCOBALENO;1124298;2008;
ITALIA (escl. Valle d'Aosta);UNIONE DI CENTRO;2050229;2008;
ITALIA (escl. Valle d'Aosta);LA DESTRA - FIAMMA TRICOLORE;884961;2008;
ITALIA (escl. Valle d'Aosta);M.E.D.A.;16483;2008;
ITALIA (escl. Valle d'Aosta);DIE FREIHEITLICHEN;28340;2008;
ITALIA (escl. Valle d'Aosta);SVP;147718;2008;
ITALIA (escl. Valle d'Aosta);SARDIGNA NATZIONE;7176;2008;
ITALIA (escl. Valle d'Aosta);LEGA SUD;4399;2008;
ITALIA (escl. Valle d'Aosta);FORZA NUOVA;109699;2008;
ITALIA (escl. Valle d'Aosta);P.LIBERALE ITALIANO;104053;2008;
ITALIA (escl. Valle d'Aosta);PS D'AZ.;14860;2008;
ITALIA (escl. Valle d'Aosta);PARTITO SOCIALISTA;355495;2008;
ITALIA (escl. Valle d'Aosta);ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;135535;2008;
ITALIA (escl. Valle d'Aosta);SINISTRA CRITICA;168916;2008;
ITALIA (escl. Valle d'Aosta);PER IL BENE COMUNE;119569;2008;
ITALIA (escl. Valle d'Aosta);IL LOTO;1797;2008;
ITALIA (escl. Valle d'Aosta);L'INTESA VENETA;2388;2008;
ITALIA (escl. Valle d'Aosta);PARTITO DI ALTERNATIVA COMUNISTA;1993;2008;
ITALIA (escl. Valle d'Aosta);PARTITO COMUNISTA DEI LAVORATORI;208296;2008;
ITALIA (escl. Valle d'Aosta);UNION FUR SUD TIROL;12981;2008;
ITALIA (escl. Valle d'Aosta);LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;13992;2008;
ITALIA (escl. Valle d'Aosta);LG.VENETA REPUBBLICA;31353;2008;
ITALIA (escl. Valle d'Aosta);MOVIMENTO P.P.A.;946;2008;
ITALIA (escl. Valle d'Aosta);LISTA DEI GRILLI PARLANTI;66835;2008;
ITALIA (escl. Valle d'Aosta);UNIONE DEMOCRATICA PER I CONSUMATORI;91106;2008;
CIRCOSCRIZIONE ESTERO;PARTITO DEMOCRATICO;338954;2008;
CIRCOSCRIZIONE ESTERO;IL POPOLO DELLA LIBERTA';322437;2008;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;88017;2008;
CIRCOSCRIZIONE ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;86970;2008;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;64325;2008;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;42149;2008;
CIRCOSCRIZIONE ESTERO;PARTITO SOCIALISTA;32513;2008;
CIRCOSCRIZIONE ESTERO;LA SINISTRA L'ARCOBALENO;28495;2008;
CIRCOSCRIZIONE ESTERO;LA DESTRA - FIAMMA TRICOLORE;14974;2008;
CIRCOSCRIZIONE ESTERO;L' ALTRA SICILIA PER IL SUD;9251;2008;
CIRCOSCRIZIONE ESTERO;SINISTRA CRITICA;6062;2008;
CIRCOSCRIZIONE ESTERO;CONSUMATORI CIVICI ITALIANI;4878;2008;
CIRCOSCRIZIONE ESTERO;VALORI E FUTURO;4493;2008;
ITALIA (escl. Valle d'Aosta);L'ULIVO;11930983;2006;
ITALIA (escl. Valle d'Aosta);RIFONDAZIONE COMUNISTA;2229464;2006;
ITALIA (escl. Valle d'Aosta);LA ROSA NEL PUGNO;990694;2006;
ITALIA (escl. Valle d'Aosta);COMUNISTI ITALIANI;884127;2006;
ITALIA (escl. Valle d'Aosta);DI PIETRO ITALIA DEI VALORI;877052;2006;
ITALIA (escl. Valle d'Aosta);FEDERAZIONE DEI VERDI;784803;2006;
ITALIA (escl. Valle d'Aosta);U.D.EUR POPOLARI;534088;2006;
ITALIA (escl. Valle d'Aosta);PARTITO PENSIONATI;333278;2006;
ITALIA (escl. Valle d'Aosta);SVP;182704;2006;
ITALIA (escl. Valle d'Aosta);"I SOCIALISTI ";115066;2006;
ITALIA (escl. Valle d'Aosta);LISTA CONSUMATORI;73751;2006;
ITALIA (escl. Valle d'Aosta);ALLEANZA LOMBARDA AUTONOMIA;44589;2006;
ITALIA (escl. Valle d'Aosta);LIGA FRONTE VENETO;21999;2006;
ITALIA (escl. Valle d'Aosta);FORZA ITALIA;9048976;2006;
ITALIA (escl. Valle d'Aosta);ALLEANZA NAZIONALE;4707126;2006;
ITALIA (escl. Valle d'Aosta);UNIONE DI CENTRO;2580190;2006;
ITALIA (escl. Valle d'Aosta);LEGA NORD;1747730;2006;
ITALIA (escl. Valle d'Aosta);DEM.CRIST.-NUOVO PSI;285474;2006;
ITALIA (escl. Valle d'Aosta);ALTERNATIVA SOCIALE MUSSOLINI;255354;2006;
ITALIA (escl. Valle d'Aosta);FIAMMA TRICOLORE;230506;2006;
ITALIA (escl. Valle d'Aosta);NO EURO;58746;2006;
ITALIA (escl. Valle d'Aosta);PENSIONATI UNITI;27550;2006;
ITALIA (escl. Valle d'Aosta);AMBIENTA-LISTA;17145;2006;
ITALIA (escl. Valle d'Aosta);P.LIBERALE ITALIANO;12265;2006;
ITALIA (escl. Valle d'Aosta);S.O.S. ITALIA;6781;2006;
ITALIA (escl. Valle d'Aosta);DESTRA NAZIONALE;1093;2006;
ITALIA (escl. Valle d'Aosta);SARDIGNA NATZIONE;11000;2006;
ITALIA (escl. Valle d'Aosta);DIMENSIONE CHRISTIANA;2489;2006;
ITALIA (escl. Valle d'Aosta);PER IL SUD;5130;2006;
ITALIA (escl. Valle d'Aosta);DIE FREIHEITLICHEN;17183;2006;
ITALIA (escl. Valle d'Aosta);MOVIMENTO TRIVENETO;4518;2006;
ITALIA (escl. Valle d'Aosta);MOV.DEM.SIC-NOI SIC.;5003;2006;
ITALIA (escl. Valle d'Aosta);PROGETTO NORDEST;92002;2006;
ITALIA (escl. Valle d'Aosta);SOLIDARIETA';5814;2006;
ITALIA (escl. Valle d'Aosta);IRS;11648;2006;
ITALIA (escl. Valle d'Aosta);TERZO POLO;16174;2006;
ITALIA (escl. Valle d'Aosta);LEGA SUD;848;2006;
CIRCOSCRIZIONE ESTERO;L'UNIONE;421414;2006;
CIRCOSCRIZIONE ESTERO;FORZA ITALIA;202536;2006;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;99817;2006;
CIRCOSCRIZIONE ESTERO;PER ITALIA NEL MONDO;72105;2006;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;66456;2006;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;27432;2006;
CIRCOSCRIZIONE ESTERO;LEGA NORD;20211;2006;
CIRCOSCRIZIONE ESTERO;U.S.E.I.;14205;2006;
CIRCOSCRIZIONE ESTERO;P.ITALIANI NEL MONDO;11250;2006;
CIRCOSCRIZIONE ESTERO;L' ALTRA SICILIA PER IL SUD;10867;2006;
CIRCOSCRIZIONE ESTERO;U.D.EUR POPOLARI;9721;2006;
CIRCOSCRIZIONE ESTERO;ALTERNATIVA SOCIALE MUSSOLINI;7030;2006;
CIRCOSCRIZIONE ESTERO;ALT.IND.ITAL.ESTERO;3732;2006;
CIRCOSCRIZIONE ESTERO;AMARE L'ITALIA;3179;2006;
CIRCOSCRIZIONE ESTERO;FIAMMA TRICOLORE;1197;2006;
ITALIA;DC;10862073;1953;
ITALIA;PCI;6120809;1953;
ITALIA;PSI;3441014;1953;
ITALIA;P.NAZ.MONARCHICO;1854850;1953;
ITALIA;MSI;1582154;1953;
ITALIA;PSDI;1222957;1953;
ITALIA;PLI;815929;1953;
ITALIA;PRI;438149;1953;
ITALIA;UN.SOCIAL.INDIP.;225409;1953;
ITALIA;UNITA'POPOLARE;171099;1953;
ITALIA;PPST;122474;1953;
ITALIA;ALL.DEMOC.NAZIONALE;120685;1953;
ITALIA;PS D'AZ.;27231;1953;
ITALIA;IND.SIN.;21920;1953;
ITALIA;CENTRO POLITICO IT.;14493;1953;
ITALIA;P.MONARCHICO NAZ.IT.;8089;1953;
ITALIA;LISTA MONARCHICA;6759;1953;
ITALIA;UN.NAZ.DEM.IMP.PUB.;6581;1953;
ITALIA;P.NETTISTA ITALIANO;4305;1953;
ITALIA;P.RADICAL SOCIALISTA;3283;1953;
ITALIA;P.NAZIONALI FEDERATI;2895;1953;
ITALIA;MOV.SOC.CRISTIANO;2799;1953;
ITALIA;M.FEMMINILE IT.;1752;1953;
ITALIA;PPTT;1714;1953;
ITALIA;P.CRIST.MILITANTE;1473;1953;
ITALIA;MOV.NAZIONALE IT.;1257;1953;
ITALIA;P.UN.SOCIALE IT.;1101;1953;
ITALIA;P.VOLONTA'NAZIONALE;1010;1953;
ITALIA;P.FEDERALISTA IT.;866;1953;
ITALIA;M.GARIB.PART.D'ITALIA;762;1953;
ITALIA;P.ESISTENZIALISTA UN;716;1953;
ITALIA;P.UNIONE NAZIONALE;563;1953;
ITALIA;IND;530;1953;
ITALIA;DC;12912466;1972;
ITALIA;PCI;9068961;1972;
ITALIA;PSI;3208497;1972;
ITALIA;MSI;2894722;1972;
ITALIA;PSDI;1718142;1972;
ITALIA;PLI;1300439;1972;
ITALIA;PRI;954357;1972;
ITALIA;PSIUP;648591;1972;
ITALIA;MANIFESTO;224313;1972;
ITALIA;PPST;153674;1972;
ITALIA;MOV.POL.LAV.;120251;1972;
ITALIA;PC(MARX-LEN)IT;86038;1972;
ITALIA;DC-UV-RV-PSDI;34083;1972;
ITALIA;DEM.POP.;28886;1972;
ITALIA;PAPI;15304;1972;
ITALIA;STELLA ROSSA-R.S.;9108;1972;
ITALIA;AZ.CR.POP.;9068;1972;
ITALIA;RINN.DEM.NAZ.;5893;1972;
ITALIA;PCS (MARX.-LEN.);2958;1972;
ITALIA;FR.NAZ.SIC.;2884;1972;
ITALIA;UN.FORZE DEM.;2190;1972;
ITALIA;PART.AGRICOLTORI;1706;1972;
ITALIA;FR.UOMO QUALUNQUE;1017;1972;
ITALIA;DC;11640265;1992;
ITALIA;PDS;6321084;1992;
ITALIA;PSI;5343930;1992;
ITALIA;LEGA LOMBARDA;3396012;1992;
ITALIA;RIFONDAZIONE COMUNISTA;2204641;1992;
ITALIA;MSI-DN;2107037;1992;
ITALIA;PRI;1722465;1992;
ITALIA;PLI;1121264;1992;
ITALIA;FEDERAZIONE DEI VERDI;1093995;1992;
ITALIA;PSDI;1064647;1992;
ITALIA;LA RETE-MOV.DEM.;730171;1992;
ITALIA;LISTA PANNELLA;485694;1992;
ITALIA;LISTA REFERENDUM;319812;1992;
ITALIA;PARTITO PENSIONATI;246379;1992;
ITALIA;ALTRE LEGHE;220559;1992;
ITALIA;PPST;198447;1992;
ITALIA;CPA;192799;1992;
ITALIA;FEDERALISMO-PENS.UV.;154621;1992;
ITALIA;LEGA AUT.VENETA;152301;1992;
ITALIA;LA LEGA CAS-PENS.;133717;1992;
ITALIA;LISTE AUTONOMISTE;94583;1992;
ITALIA;ALTRE LISTE;59396;1992;
ITALIA;LEGA D'AZIONE MERIDIONALE;53759;1992;
ITALIA;MOV.VEN.REG.AUT;49035;1992;
ITALIA;VERDI FEDERALISTI;42647;1992;
ITALIA;L.VALLE D'AOSTA;41404;1992;
ITALIA;GRUPPO DOLCHI-FOSSON;30724;1992;
ITALIA;VERDI-VERDI;25887;1992;
ITALIA;LEGA;5698687;2018;
ITALIA;FORZA ITALIA;4596956;2018;
ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;1429550;2018;
ITALIA;NOI CON L'ITALIA - UDC;427152;2018;
ITALIA;MOVIMENTO 5 STELLE;10732066;2018;
ITALIA;PARTITO DEMOCRATICO;6161896;2018;
ITALIA;+EUROPA;841468;2018;
ITALIA;ITALIA EUROPA INSIEME;190601;2018;
ITALIA;CIVICA POPOLARE LORENZIN;178107;2018;
ITALIA;SVP - PATT;134651;2018;
ITALIA;LIBERI E UGUALI;1114799;2018;
ITALIA;POTERE AL POPOLO!;372179;2018;
ITALIA;CASAPOUND ITALIA;312432;2018;
ITALIA;IL POPOLO DELLA FAMIGLIA;219633;2018;
ITALIA;ITALIA AGLI ITALIANI;126543;2018;
ITALIA;PARTITO COMUNISTA;106816;2018;
ITALIA;PARTITO VALORE UMANO;47953;2018;
ITALIA;10 VOLTE MEGLIO;37354;2018;
ITALIA;PER UNA SINISTRA RIVOLUZIONARIA;29364;2018;
ITALIA;PARTITO REPUBBLICANO ITALIANO - ALA;20943;2018;
ITALIA;GRANDE NORD;19846;2018;
ITALIA;AUTODETERMINATZIONE;19307;2018;
ITALIA;LISTA DEL POPOLO PER LA COSTITUZIONE;9921;2018;
ITALIA;PATTO PER L'AUTONOMIA;7079;2018;
ITALIA;BLOCCO NAZIONALE PER LE LIBERTA';3628;2018;
ITALIA;SIAMO;1428;2018;
ITALIA;RINASCIMENTO MIR;772;2018;
ITALIA;ITALIA NEL CUORE;574;2018;
ESTERO;PARTITO DEMOCRATICO;297153;2018;
ESTERO;LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;240702;2018;
ESTERO;MOVIMENTO 5 STELLE;197346;2018;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;107236;2018;
ESTERO;USEI;68291;2018;
ESTERO;LIBERI E UGUALI;64523;2018;
ESTERO;+EUROPA;64350;2018;
ESTERO;CIVICA POPOLARE LORENZIN;32071;2018;
ESTERO;UNITAL;25555;2018;
ESTERO;NOI CON L'ITALIA - UDC;12396;2018;
ESTERO;MOVIMENTO DELLE LIBERTA';10590;2018;
ESTERO;PARTITO REPUBBLICANO ITALIANO - ALA;2270;2018;
ESTERO;FREE FLIGHTS TO ITALY;946;2018;
ITALIA;DC;14046290;1979;
ITALIA;PCI;11139231;1979;
ITALIA;PSI;3596802;1979;
ITALIA;MSI-DN;1930639;1979;
ITALIA;PSDI;1407535;1979;
ITALIA;P.RAD;1264870;1979;
ITALIA;PRI;1110209;1979;
ITALIA;PLI;712646;1979;
ITALIA;PDUP;502247;1979;
ITALIA;NUOVA SIN.UNITA;294462;1979;
ITALIA;DN-CD;229205;1979;
ITALIA;PPST;204899;1979;
ITALIA;ASSOCIAZIONE PER TRIESTE;65505;1979;
ITALIA;MOV.FRIULI;35254;1979;
ITALIA;UNIONE VALDOSTANA-DEMPROL-PLI;33250;1979;
ITALIA;UNITA' DELLA SINISTRA;23909;1979;
ITALIA;PS D'AZ.;17673;1979;
ITALIA;DC-PSDI-PRI;13442;1979;
ITALIA;POE;7371;1979;
ITALIA;PARTITO POPOLARE ITALIANO;6497;1979;
ITALIA;FRONTE GIUST.SIC.;5146;1979;
ITALIA;PART.CRIST.AZ.SOC.;3115;1979;
ITALIA;P.DEM.;3108;1979;
ITALIA;PART.BEN.CIV.;2991;1979;
ITALIA;PART.POP.CALAB.;2927;1979;
ITALIA;FR.NAZ.SIC.;2749;1979;
ITALIA;FIORE MARGHERITA;2123;1979;
ITALIA;MOV.POP.CRIST.;1921;1979;
ITALIA;ASS.VAL.IND;1907;1979;
ITALIA;NPP;1869;1979;
ITALIA;PART.SIN.DEM.;1516;1979;