"Ente";"Liste/Gruppi";"Voti";"Year"
"ITALIA";"DC";"10017975";"1963"
"ITALIA";"PCI";"6933310";"1963"
"ITALIA";"PSI";"3849495";"1963"
"ITALIA";"PLI";"2043323";"1963"
"ITALIA";"PSDI";"1743870";"1963"
"ITALIA";"MSI";"1458917";"1963"
"ITALIA";"PDIUM";"429412";"1963"
"ITALIA";"PRI";"223350";"1963"
"ITALIA";"MSI-PDIUM";"212381";"1963"
"ITALIA";"DC-PRI";"199805";"1963"
"ITALIA";"PPST";"112023";"1963"
"ITALIA";"CONC.UNITA'RURALE";"58064";"1963"
"ITALIA";"P.AUT.CRIST.SOC.";"43355";"1963"
"ITALIA";"PS D'AZ.";"34954";"1963"
"ITALIA";"UV";"29510";"1963"
"ITALIA";"IND.DESTRA";"24772";"1963"
"ITALIA";"INDIPENDENTE CATTOLICO";"22578";"1963"
"ITALIA";"SINISTRA IND.";"15224";"1963"
"ITALIA";"USCS";"13187";"1963"
"ITALIA";"CONTADINI COMBATTENTI";"3797";"1963"
"ITALIA";"PROGRESSISTI ";"10881320";"1994"
"ITALIA";"POLO DELLE LIBERTA'";"6570468";"1994"
"ITALIA";"PATTO PER L'ITALIA";"5519090";"1994"
"ITALIA";"POLO BUON GOVERNO";"4544573";"1994"
"ITALIA";"ALLEANZA NAZIONALE";"2077934";"1994"
"ITALIA";"ALTRI GRUPPI";"835028";"1994"
"ITALIA";"PANNELLA-RIFORMATORI";"767765";"1994"
"ITALIA";"ALTRE LEGHE";"341725";"1994"
"ITALIA";"PARTITO PENSIONATI";"250637";"1994"
"ITALIA";"LEGA ALPINA LUMBARDA";"246046";"1994"
"ITALIA";"LISTE AUTONOMISTE";"233361";"1994"
"ITALIA";"SVP";"217137";"1994"
"ITALIA";"FI-CCD";"149965";"1994"
"ITALIA";"PSI";"103490";"1994"
"ITALIA";"VERDI FEDERALISTI";"100418";"1994"
"ITALIA";"PS D'AZ.";"88225";"1994"
"ITALIA";"VERDI-VERDI";"68218";"1994"
"ITALIA";"SOCIALDEMOCRAZIA";"66589";"1994"
"ITALIA";"LA RETE-MOV.DEM.";"12560";"1994"
"ITALIA";"DC";"10077204";"1983"
"ITALIA";"PCI";"9577071";"1983"
"ITALIA";"PSI";"3539593";"1983"
"ITALIA";"MSI-DN";"2283524";"1983"
"ITALIA";"PRI";"1452279";"1983"
"ITALIA";"PSDI";"1184936";"1983"
"ITALIA";"PLI";"834771";"1983"
"ITALIA";"P.RAD";"548229";"1983"
"ITALIA";"PART.NAZ.PENS.";"370756";"1983"
"ITALIA";"DEM.PROL";"327750";"1983"
"ITALIA";"PPST";"157444";"1983"
"ITALIA";"PLI-PRI";"127504";"1983"
"ITALIA";"PLI-PRI-PSDI";"100218";"1983"
"ITALIA";"LIGA VENETA";"91171";"1983"
"ITALIA";"LISTA PER TRIESTE";"85542";"1983"
"ITALIA";"PS D'AZ.";"76797";"1983"
"ITALIA";"PLI-PSDI";"72298";"1983"
"ITALIA";"RINN-MOLISE";"33525";"1983"
"ITALIA";"LISTA TS-PPPIU";"27940";"1983"
"ITALIA";"UV-UVP-D.POP.";"26547";"1983"
"ITALIA";"MOV.FRIULI";"23847";"1983"
"ITALIA";"PPTT";"17354";"1983"
"ITALIA";"PART.CRIST.AZ.SOC.";"12588";"1983"
"ITALIA";"UN.PEN.PENS.IT.";"10895";"1983"
"ITALIA";"UNIONE SLOVENA";"8904";"1983"
"ITALIA";"FR.NAZ.SIC.";"8243";"1983"
"ITALIA";"LISTA DI LOTTA";"6403";"1983"
"ITALIA";"LISTA TS-UDP";"5678";"1983"
"ITALIA";"DC";"10780954";"1958"
"ITALIA";"PCI";"5700952";"1958"
"ITALIA";"PSI";"3682945";"1958"
"ITALIA";"PSDI";"1164280";"1958"
"ITALIA";"MSI";"1150051";"1958"
"ITALIA";"PLI";"1012610";"1958"
"ITALIA";"P.MONARCHICO POP.";"774242";"1958"
"ITALIA";"P.NAZ.MONARCHICO";"565045";"1958"
"ITALIA";"PRI-P.RAD.";"363462";"1958"
"ITALIA";"PART.NAZ.MON-MSI";"291359";"1958"
"ITALIA";"PCI-PSI";"185557";"1958"
"ITALIA";"COMUNITA'";"142897";"1958"
"ITALIA";"PPST";"120068";"1958"
"ITALIA";"MOVIM.AUT.REG.-M.A.R.P.";"61088";"1958"
"ITALIA";"PSI-PSDI-IS";"43191";"1958"
"ITALIA";"IND.SIN.";"28141";"1958"
"ITALIA";"PS D'AZ.";"25923";"1958"
"ITALIA";"CHIAVE";"12686";"1958"
"ITALIA";"BRUNO BUITONI";"11540";"1958"
"ITALIA";"TRE CIME DI LAVAREDO";"9928";"1958"
"ITALIA";"TOTA SABINA CIVITAS";"6449";"1958"
"ITALIA";"PART.NAZ.MONARCHICO";"4729";"1958"
"ITALIA";"P.NAZIONALE LAVORO";"3588";"1958"
"ITALIA";"UNIFIC.SOCIALISTA";"3110";"1958"
"ITALIA";"QUADRIFOGLIO";"2818";"1958"
"ITALIA";"MOVIMENTO RURALE";"2389";"1958"
"ITALIA";"PARTITO DEMOCRATICO";"8400851";"2013"
"ITALIA";"SINISTRA ECOLOGIA LIBERTA'";"911486";"2013"
"ITALIA";"CENTRO DEMOCRATICO";"162418";"2013"
"ITALIA";"IL MEGAFONO - LISTA CROCETTA";"138564";"2013"
"ITALIA";"PARTITO SOCIALISTA ITALIANO";"57606";"2013"
"ITALIA";"MODERATI";"14512";"2013"
"ITALIA";"IL POPOLO DELLA LIBERTA'";"6828994";"2013"
"ITALIA";"LEGA NORD";"1328534";"2013"
"ITALIA";"FRATELLI D'ITALIA";"590645";"2013"
"ITALIA";"LA DESTRA";"221368";"2013"
"ITALIA";"PARTITO PENSIONATI";"123237";"2013"
"ITALIA";"GRANDE SUD";"122262";"2013"
"ITALIA";"MIR - MODERATI IN RIVOLUZIONE";"69838";"2013"
"ITALIA";"MPA - PARTITO DEI SICILIANI";"48539";"2013"
"ITALIA";"INTESA POPOLARE";"24870";"2013"
"ITALIA";"CANTIERE POPOLARE";"21675";"2013"
"ITALIA";"BASTA TASSE";"19202";"2013"
"ITALIA";"LIBERI PER UNA ITALIA EQUA";"6488";"2013"
"ITALIA";"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"7286550";"2013"
"ITALIA";"CON MONTI PER L'ITALIA";"2797734";"2013"
"ITALIA";"RIVOLUZIONE CIVILE";"551064";"2013"
"ITALIA";"FARE PER FERMARE IL DECLINO";"278470";"2013"
"ITALIA";"PARTITO COMUNISTA DEI LAVORATORI";"113967";"2013"
"ITALIA";"FORZA NUOVA";"81578";"2013"
"ITALIA";"LISTA AMNISTIA GIUSTIZIA LIBERTA'";"63074";"2013"
"ITALIA";"FIAMMA TRICOLORE";"52060";"2013"
"ITALIA";"IO AMO L'ITALIA";"40660";"2013"
"ITALIA";"CASAPOUND ITALIA";"40716";"2013"
"ITALIA";"INDIPENDENZA VENETA";"29690";"2013"
"ITALIA";"LG.VENETA REPUBBLICA";"20361";"2013"
"ITALIA";"DIMEZZIAMO LO STIPENDIO AI POLITICI";"7965";"2013"
"ITALIA";"NO ALLA CHIUSURA DEGLI OSPEDALI";"7553";"2013"
"ITALIA";"VIVA L'ITALIA";"4767";"2013"
"ITALIA";"PS D'AZ.";"18569";"2013"
"ITALIA";"CIVILTA' RURALE SVILUPPO";"13955";"2013"
"ITALIA";"RIALZATI ABRUZZO";"11821";"2013"
"ITALIA";"P.COM.MARX-LEN.";"9599";"2013"
"ITALIA";"VENETO STATO";"8973";"2013"
"ITALIA";"PRI";"8124";"2013"
"ITALIA";"DONNE PER L'ITALIA";"7610";"2013"
"ITALIA";"INDIPENDENZA PER LA SARDEGNA";"7509";"2013"
"ITALIA";"UNIONE PADANA";"7317";"2013"
"ITALIA";"POPOLARI UNITI";"6584";"2013"
"ITALIA";"I PIRATI";"6252";"2013"
"ITALIA";"RIFORMISTI ITALIANI";"5916";"2013"
"ITALIA";"MERIS";"5770";"2013"
"ITALIA";"PARTITO DI ALTERNATIVA COMUNISTA";"5185";"2013"
"ITALIA";"PAS - FLB&LT";"4742";"2013"
"ITALIA";"PROGETTO NAZIONALE";"3826";"2013"
"ITALIA";"LA BASE";"3383";"2013"
"ITALIA";"TUTTI INSIEME PER L'ITALIA";"3092";"2013"
"ITALIA";"RIFONDAZIONE MISSINA ITALIANA";"2698";"2013"
"ITALIA";"MOVIMENTO EUDONNA";"2302";"2013"
"ITALIA";"COSTRUIRE DEMOCRAZIA";"2658";"2013"
"ITALIA";"MOVIMENTO PROGETTO ITALIA - MID";"1441";"2013"
"ITALIA";"PARTITO DEL SUD";"1263";"2013"
"ITALIA";"MOVIMENTO NATURALISTA ITALIANO";"1131";"2013"
"ITALIA";"COMUNITA' LUCANA";"883";"2013"
"ESTERO";"PARTITO DEMOCRATICO";"274732";"2013"
"ESTERO";"CON MONTI PER L'ITALIA";"177402";"2013"
"ESTERO";"IL POPOLO DELLA LIBERTA'";"136052";"2013"
"ESTERO";"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO";"120290";"2013"
"ESTERO";"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";"89562";"2013"
"ESTERO";"USEI";"38223";"2013"
"ESTERO";"ITALIANI PER LA LIBERTA'";"15260";"2013"
"ESTERO";"RIVOLUZIONE CIVILE";"14134";"2013"
"ESTERO";"UNIONE ITALIANI SUDAMERICA";"10811";"2013"
"ESTERO";"FARE PER FERMARE IL DECLINO";"7892";"2013"
"ESTERO";"PARTITO COMUNISTA";"7578";"2013"
"ESTERO";"INSIEME PER GLI ITALIANI";"3223";"2013"
"ITALIA";"L'ULIVO";"13013276";"1996"
"ITALIA";"POLO PER LE LIBERTA'";"12185020";"1996"
"ITALIA";"LEGA NORD";"3394733";"1996"
"ITALIA";"PROGRESSISTI (1996)";"934974";"1996"
"ITALIA";"MOV.SOC.TRICOLORE";"747487";"1996"
"ITALIA";"PANNELLA-SGARBI";"509826";"1996"
"ITALIA";"L'ULIVO-PS.D'AZ.";"421331";"1996"
"ITALIA";"SOCIALISTA";"286425";"1996"
"ITALIA";"L'ABETE-SVP-PATT";"178425";"1996"
"ITALIA";"MANI PULITE";"109113";"1996"
"ITALIA";"ALLEANZA LOMBARDA AUTONOMIA";"106313";"1996"
"ITALIA";"UNIONE NORD EST";"72541";"1996"
"ITALIA";"NOI SICILIANI-FNS";"71841";"1996"
"ITALIA";"LEGA D'AZIONE MERIDIONALE";"66750";"1996"
"ITALIA";"VERDI-VERDI";"61434";"1996"
"ITALIA";"ALL.PENSIONATI EUR.";"60640";"1996"
"ITALIA";"DEMOCRAZIA SOCIALE";"60016";"1996"
"ITALIA";"FED.LISTE CIVICHE IT";"55793";"1996"
"ITALIA";"SARDIGNA NATZIONE";"44713";"1996"
"ITALIA";"POUR VALLEE D'AOSTE";"29538";"1996"
"ITALIA";"PIEMONTE NAZ.EUROPA";"26951";"1996"
"ITALIA";"AMBIENTALISTI";"26756";"1996"
"ITALIA";"GR.INDIP.LIBERTA'";"23301";"1996"
"ITALIA";"UNION FUR SUD TIROL";"19330";"1996"
"ITALIA";"MOV.AUT.TOSCANO";"18691";"1996"
"ITALIA";"PATTO PER L'AGRO";"17980";"1996"
"ITALIA";"RINNOVAMENTO";"16216";"1996"
"ITALIA";"VALLE D'AOSTA-ULIVO";"10371";"1996"
"ITALIA";"DESTRA DI POPOLO";"6710";"1996"
"ITALIA";"PART.LEGGE NATURALE";"5842";"1996"
"ITALIA";"DEMOCR.PROGRESSO";"5688";"1996"
"ITALIA";"RIFONDAZIONE COMUNISTA";"5681";"1996"
"ITALIA";"MOV.POP.MORALIZ.";"5297";"1996"
"ITALIA";"ALPI AZZURRE";"5144";"1996"
"ITALIA";"ALT.DEM.C.ROMANI";"4524";"1996"
"ITALIA";"P.POP.PROGRESSISTA";"4450";"1996"
"ITALIA";"PER UN PAESE NORMALE";"3976";"1996"
"ITALIA";"REG.DOLOMITICA EUR";"2898";"1996"
"ITALIA";"NORD LIBERO AUT.";"2411";"1996"
"ITALIA";"COLPISCI IL CENTRO";"2178";"1996"
"ITALIA";"DC";"12227353";"1976"
"ITALIA";"PCI";"10637772";"1976"
"ITALIA";"PSI";"3208164";"1976"
"ITALIA";"MSI-DN";"2086430";"1976"
"ITALIA";"PSDI";"974940";"1976"
"ITALIA";"PRI";"846415";"1976"
"ITALIA";"PLI";"438265";"1976"
"ITALIA";"PLI-PRI-PSDI";"334898";"1976"
"ITALIA";"P.RAD";"265947";"1976"
"ITALIA";"PPST";"158584";"1976"
"ITALIA";"DEM.PROL";"78170";"1976"
"ITALIA";"PCI-PSI";"52922";"1976"
"ITALIA";"PLI-PRI";"51353";"1976"
"ITALIA";"DC-RV-UV-UVP-PRI";"22917";"1976"
"ITALIA";"PCI-PSI-PDUP";"21072";"1976"
"ITALIA";"DEM.POP-UVP M.REG";"17699";"1976"
"ITALIA";"UNIONE SLOVENA";"9023";"1976"
"ITALIA";"TIROL.";"7193";"1976"
"ITALIA";"NPP";"4827";"1976"
"ITALIA";"P.DEM.";"3074";"1976"
"ITALIA";"GR.MARGH.";"1892";"1976"
"ITALIA";"GR.AVE";"521";"1976"
"ITALIA";"DC";"10972114";"1968"
"ITALIA";"PCI-PSIUP";"8585601";"1968"
"ITALIA";"PSU";"4354906";"1968"
"ITALIA";"PLI";"1943795";"1968"
"ITALIA";"MSI";"1304847";"1968"
"ITALIA";"PRI";"622388";"1968"
"ITALIA";"PDIUM";"312702";"1968"
"ITALIA";"MSI-PDIUM";"292349";"1968"
"ITALIA";"PPST";"131071";"1968"
"ITALIA";"SOCIALDEMOCRAZIA";"36073";"1968"
"ITALIA";"UV";"28414";"1968"
"ITALIA";"PS D'AZ.";"25891";"1968"
"ITALIA";"PST.PROG.SOC.";"5870";"1968"
"ITALIA";"DC";"10899640";"1948"
"ITALIA";"FR.DEMOCR.POPOLARE";"6969122";"1948"
"ITALIA";"BLOCCO NAZIONALE";"1222419";"1948"
"ITALIA";"UNITA' SOCIALISTA";"943219";"1948"
"ITALIA";"UNITA' SOC.-PRI";"607792";"1948"
"ITALIA";"PRI";"594178";"1948"
"ITALIA";"IND";"544039";"1948"
"ITALIA";"P.NAZ.MONARCHICO";"393510";"1948"
"ITALIA";"MSI";"164092";"1948"
"ITALIA";"EDELWEISS";"95406";"1948"
"ITALIA";"P.CONTADINI D'ITALIA";"65986";"1948"
"ITALIA";"PS D'AZ.";"65743";"1948"
"ITALIA";"UN.MOV.FEDERALISTI";"42880";"1948"
"ITALIA";"MOV.NAZ.DEM.SOC.";"27152";"1948"
"ITALIA";"FR.DEM.PROG.REPUB.";"13479";"1948"
"ITALIA";"ALTRI";"2932";"1948"
"ITALIA";"CONC.RUR.IND.AOSTA";"2868";"1948"
"ITALIA";"UN.SOCIAL.INDIP.";"2833";"1948"
"ITALIA";"DC";"10897036";"1987"
"ITALIA";"PCI";"9181579";"1987"
"ITALIA";"PSI";"3535457";"1987"
"ITALIA";"MSI-DN";"2121026";"1987"
"ITALIA";"PRI";"1248641";"1987"
"ITALIA";"PSI-PSDI-PR";"962215";"1987"
"ITALIA";"PSDI";"764370";"1987"
"ITALIA";"PLI";"700330";"1987"
"ITALIA";"LISTA VERDE";"634182";"1987"
"ITALIA";"P.RAD";"572461";"1987"
"ITALIA";"DEM.PROL";"493667";"1987"
"ITALIA";"LIGA VENETA-PU";"298552";"1987"
"ITALIA";"PPST";"171539";"1987"
"ITALIA";"LEGA LOMBARDA";"137276";"1987"
"ITALIA";"PS D'AZ.";"124266";"1987"
"ITALIA";"ALL.LAICA SOC.";"84883";"1987"
"ITALIA";"PIEMONT-AUT.REG.";"60742";"1987"
"ITALIA";"PSI-PSDI-PR-VERDI";"58501";"1987"
"ITALIA";"ALL.POP.PENS";"51790";"1987"
"ITALIA";"PIEMONT";"51340";"1987"
"ITALIA";"ALL.DEM.MOL.";"49297";"1987"
"ITALIA";"CPA";"41135";"1987"
"ITALIA";"UV-ADP-PRI";"35830";"1987"
"ITALIA";"DC-PCI-PSI-PSDI-PLI";"25426";"1987"
"ITALIA";"P.VERDE I.VER.E.";"22006";"1987"
"ITALIA";"VERDI IT.-P.ECOL";"19127";"1987"
"ITALIA";"MOV.FRIULI";"17528";"1987"
"ITALIA";"MOV.LIB.FISCALE";"13915";"1987"
"ITALIA";"PARTIDU INDIP.";"11818";"1987"
"ITALIA";"PART.SUD.TIROL";"8551";"1987"
"ITALIA";"RINASCITA SIC.";"5258";"1987"
"ITALIA";"PS D'AZ-ALL.F.";"4812";"1987"
"ITALIA";"PART.NAZ.INQ.";"4103";"1987"
"ITALIA";"MOV.NAZ.IT.CACC.";"2695";"1987"
"ITALIA";"NPP";"2507";"1987"
"ITALIA";"CASA DELLE LIBERTA'";"14406519";"2001"
"ITALIA";"L'ULIVO";"13106860";"2001"
"ITALIA";"RIFONDAZIONE COMUNISTA";"1708707";"2001"
"ITALIA";"LISTA DI PIETRO";"1140489";"2001"
"ITALIA";"DEMOCRAZIA EUROPEA";"1066908";"2001"
"ITALIA";"PANNELLA-BONINO";"677725";"2001"
"ITALIA";"FIAMMA TRICOLORE";"340221";"2001"
"ITALIA";"ALLEANZA LOMBARDA AUTONOMIA";"308559";"2001"
"ITALIA";"SVP-L'ULIVO";"175635";"2001"
"ITALIA";"LIGA FRONTE VENETO";"138134";"2001"
"ITALIA";"SVP";"126177";"2001"
"ITALIA";"VA' PENSIERO PADANIA";"119058";"2001"
"ITALIA";"FRONTE NAZIONALE";"98132";"2001"
"ITALIA";"DEM.EUR-SOC.AUT";"79002";"2001"
"ITALIA";"PARTITO PENSIONATI";"78572";"2001"
"ITALIA";"FORZA NUOVA";"39545";"2001"
"ITALIA";"VERDI-VERDI";"35743";"2001"
"ITALIA";"PS D'AZ-SARD.NATZ.";"32822";"2001"
"ITALIA";"VALLEE D'AOSTE";"32429";"2001"
"ITALIA";"FILOGRANA SALENTO";"21857";"2001"
"ITALIA";"NOI SICILIANI";"20761";"2001"
"ITALIA";"LEGA D'AZIONE MERIDIONALE";"19914";"2001"
"ITALIA";"LIBDEM.BASTA";"19913";"2001"
"ITALIA";"FI-LG NORD (AOSTA)";"14817";"2001"
"ITALIA";"P.LIBERAL POPOLARE";"10301";"2001"
"ITALIA";"LISTA AMADU";"9203";"2001"
"ITALIA";"LISTA ALTERNATIVA";"7704";"2001"
"ITALIA";"FORZA CHIAPPETTA";"6932";"2001"
"ITALIA";"DIE FREIHEITLICHEN";"5354";"2001"
"ITALIA";"LISTA FRANCO GRECO";"4284";"2001"
"ITALIA";"MOVIMENTO DELLE LIBERTA'";"4023";"2001"
"ITALIA";"AN (AOSTA)";"3686";"2001"
"ITALIA";"RENATO FIORELLI";"2924";"2001"
"ITALIA";"TERZO POLO AUTONOMIA";"2392";"2001"
"ITALIA";"COMUNISMO";"2159";"2001"
"ITALIA";"GIUSEPPE BOSCOLO";"1058";"2001"
"ITALIA";"PARLAMENTARE INDIP.";"993";"2001"
"ITALIA";"GIUSTIZIA-PROGRESSO";"950";"2001"
"ITALIA";"TOSCANA GRANDUC-FED.";"625";"2001"
