"LOCATION","TIME","Value"
"ITA","1970","3625.522136"
"ITA","1971","3860.516495"
"ITA","1972","4152.391705"
"ITA","1973","4660.329471"
"ITA","1974","5324.130523"
"ITA","1975","5661.780953"
"ITA","1976","6367.149689"
"ITA","1977","6906.534176"
"ITA","1978","7604.709631"
"ITA","1979","8701.221594"
"ITA","1980","9792.414339"
"ITA","1981","10794.868642"
"ITA","1982","11502.44648"
"ITA","1983","12088.321524"
"ITA","1984","12925.574685"
"ITA","1985","13703.473059"
"ITA","1986","14378.467138"
"ITA","1987","15202.745146"
"ITA","1988","16391.231545"
"ITA","1989","17597.787494"
"ITA","1990","18603.505323"
"ITA","1991","19509.14944"
"ITA","1992","20112.562509"
"ITA","1993","20401.03676"
"ITA","1994","21280.534283"
"ITA","1995","22353.613206"
"ITA","1996","23017.694914"
"ITA","1997","23867.782113"
"ITA","1998","25020.627168"
"ITA","1999","25602.386484"
"ITA","2000","27082.569617"
"ITA","2001","28043.04706"
"ITA","2002","28716.197174"
"ITA","2003","29114.554187"
"ITA","2004","29446.504335"
"ITA","2005","30016.1557"
"ITA","2006","32256.668217"
"ITA","2007","33903.208045"
"ITA","2008","35274.312724"
"ITA","2009","34355.464458"
"ITA","2010","34857.266561"
"ITA","2011","36183.316026"
"ITA","2012","36002.908697"
"ITA","2013","36067.707344"
"ITA","2014","36194.916674"
"ITA","2015","36909.296843"
"ITA","2016","39922.933208"
"ITA","2017","41784.603781"
"ITA","2018","42908.651993"
"ITA","2019","44217.701658"